,Unnamed: 0,year,month,WD,sampling_date,basin,sampling_point,BOD,chla,COD,chro,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,lake_y,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
0,0,2016,1,1회차 상층부,20160105,금강,D1,0.5,4.8,3.5,,10.8,169,1.3,7.8,2,3.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,2016,1,1회차 상층부,20160105,금강,D5,1.2,4.1,2.9,,10.5,175,1.2,7,1.5,4.8,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2016,1,1회차 상층부,20160105,금강,D6,1.2,3.9,2.8,,11.1,179,1.4,7,1.6,4.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,2016,1,1회차 상층부,20160105,금강,D2,1.1,2.3,2.5,,7.9,175,1.2,7,1.4,2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
4,4,2016,1,1회차 상층부,20160105,금강,D3,1.5,4,2.8,,9.7,172,1.6,7,1.4,2.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5,2016,1,1회차 상층부,20160105,금강,D4,1.2,0.7,1.9,,13.9,194,1,3,1,5.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
6,6,2016,1,2회차 상층부,20160111,금강,D1,0.6,4.9,3,,11.9,168,1.5,6.8,1.9,3.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
7,7,2016,1,3회차 상층부,20160118,금강,D1,0.9,5.3,3.3,,12.4,169,1.4,5.7,2.1,3.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
8,8,2016,1,4회차 상층부,20160125,금강,D1,0.8,3.6,3.2,,14,172,1.1,2,2.1,3.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
9,9,2016,2,1회차 상층부,20160201,금강,D1,0.6,5.2,3.8,,12.7,169,1.7,3.5,2,3.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
10,10,2016,2,1회차 상층부,20160202,금강,D5,1,3.1,2.5,,12,180,0.6,3,1.5,5.5,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,2016,2,1회차 상층부,20160202,금강,D6,,,,,,,,,,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,12,2016,2,1회차 상층부,20160202,금강,D2,1.1,2.2,2.8,,10.2,179,0.2,4,1.2,4.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
13,13,2016,2,1회차 상층부,20160202,금강,D3,1,2.6,3.1,,11.6,181,1,3,1.3,3.4,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
14,14,2016,2,1회차 상층부,20160202,금강,D4,,,,,,,,,,,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
15,15,2016,2,2회차 상층부,20160211,금강,D1,0.6,1.9,3.6,,12.8,170,1.5,3.8,1.7,3.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
16,16,2016,2,3회차 상층부,20160215,금강,D1,0.7,3.5,3.4,,13.5,170,2.1,4.2,1.6,2.2,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
17,17,2016,2,4회차 상층부,20160222,금강,D1,0.9,2.8,3.2,,13.3,170,1.4,4.4,1.6,2.3,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
18,18,2016,3,1회차 상층부,20160302,금강,D1,0.8,3.8,3.2,,12.9,170,1.7,4.6,1.7,2.1,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
19,19,2016,3,1회차 상층부,20160302,금강,D5,1.4,2.5,1.6,,12.4,187,1.4,3,1.2,4.7,대청댐,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
