,WD,basin,sampling_point,sampling_date,BOD,chla,COD,DO,EC,SS,wtemp,TOC,clar,lake_x,Title,Satellite_date,check_same_date,band_1,band_2,band_3,band_4,band_5,band_6,band_7,band_8,band_9,band_10,band_11,band_12,check
709,4회차,한강,Paldang5,20190325,5.2,66.5,8.5,15.2,422,16.4,9.9,4.7,0.6,Paldangdam,1_11_20190324T021601_20190324T022122_T52SCG.tif,20190324,처_음,95,158.3333333,321.4444444,189.7777778,236.5555556,57.77777778,60.33333333,48.22222222,35.33333333,3,51.66666667,41.88888889,0
710,4회차 상층부,한강,Paldang1,20190325,2.6,34,4.8,13.6,280,7.5,8.3,2.6,1,Paldangdam,1_11_20190324T021601_20190324T022122_T52SCG.tif,20190324,처_음,53.88888889,80.55555556,250.8888889,90.11111111,92.55555556,1.555555556,1,0.888888889,0.888888889,0.888888889,73.11111111,76.88888889,0
711,4회차 상층부,한강,Paldang4,20190325,1,8.9,3.4,13.2,142,2.7,6.8,1.7,2.3,Paldangdam,1_11_20190324T021601_20190324T022122_T52SCG.tif,20190324,처_음,15.88888889,57.22222222,153.4444444,28.11111111,13.11111111,1.222222222,2.222222222,1,2,0.666666667,42.66666667,47.66666667,0
790,5회차,한강,Paldang5,20190930,2.8,45.1,5.8,12.2,321,7.8,22,2.7,1,Paldangdam,1_11_20190930T021601_20190930T021604_T52SCG.tif,20190930,처_음,331,314.8888889,447,272.5555556,379,352.3333333,400.5555556,378.1111111,347.6666667,539,170.7777778,75.66666667,1
791,5회차 상층부,한강,Paldang1,20190930,1,3.5,4,8,253,2,21.6,2.4,2.6,Paldangdam,1_11_20190930T021601_20190930T021604_T52SCG.tif,20190930,처_음,304,297.7777778,381,214.4444444,194.8888889,180.3333333,196.3333333,177.2222222,174,136.3333333,80.33333333,49,1
792,5회차 상층부,한강,Paldang4,20190930,1.3,11.5,3.7,9.2,141,3.1,20.6,2,2.2,Paldangdam,1_11_20190930T021601_20190930T021604_T52SCG.tif,20190930,처_음,227.2222222,230.2222222,286.6666667,164.8888889,158.3333333,122.1111111,132.1111111,110.3333333,109.2222222,75.55555556,44.22222222,28.44444444,1
802,4회차,한강,Paldang5,20191028,1.1,22.8,4.7,9.6,337,10.6,16.2,2.5,0.9,Paldangdam,1_11_20191030T021821_20191030T021819_T52SCG.tif,20191030,처_음,120,205.4444444,370.3333333,228.8888889,198.3333333,98.22222222,77.55555556,88.55555556,66,37,36.11111111,19,1
803,4회차 상층부,한강,Paldang1,20191028,0.4,1.6,3.1,9.6,285,2.8,16.3,1.7,2.6,Paldangdam,1_11_20191030T021821_20191030T021819_T52SCG.tif,20191030,처_음,115.8888889,187.2222222,306.5555556,119.6666667,84.88888889,40.88888889,68.22222222,51.22222222,47.77777778,45.55555556,53.44444444,45,1
804,4회차 상층부,한강,Paldang4,20191028,0.5,7.8,3.2,9.1,176,3.5,16.7,1.7,1.9,Paldangdam,1_11_20191030T021821_20191030T021819_T52SCG.tif,20191030,처_음,53.77777778,130.5555556,230.7777778,100.7777778,85.33333333,36.66666667,55.55555556,33.55555556,23.44444444,0.444444444,26.66666667,24.44444444,1
808,2회차,한강,Paldang5,20191111,2,18.5,4.3,11.1,342,4.8,12.6,2.5,1.6,Paldangdam,1_11_20191109T021901_20191109T021904_T52SCG.tif,20191109,처_음,133,187.8888889,272.4444444,162.3333333,160,91.66666667,97.88888889,88.77777778,89.11111111,44,37.44444444,22.66666667,1
809,2회차 상층부,한강,Paldang1,20191111,0.6,0.7,3.5,10.5,293,1.4,12.7,1.8,3.8,Paldangdam,1_11_20191109T021901_20191109T021904_T52SCG.tif,20191109,처_음,174.4444444,191.4444444,277,132.5555556,119.8888889,90.22222222,99,108.2222222,107.3333333,78.44444444,75.11111111,46.44444444,1
810,2회차 상층부,한강,Paldang4,20191111,0.9,8.5,3,9.8,151,2.2,13.7,1.6,2.6,Paldangdam,1_11_20191109T021901_20191109T021904_T52SCG.tif,20191109,처_음,109.8888889,159.8888889,231.2222222,121.6666667,99.88888889,74.55555556,69.33333333,62.88888889,65.88888889,25.55555556,42.44444444,29.77777778,1
811,3회차,한강,Paldang5,20191118,2.6,8.7,5.2,10.2,339,17.6,8.9,3.1,0.5,Paldangdam,1_11_20191119T022001_20191119T021959_T52SCG.tif,20191119,처_음,274,460.1111111,783.3333333,665.8888889,554.6666667,211.3333333,211.4444444,200.7777778,124.7777778,85,77.88888889,61.66666667,0
